geocode,intensity_pre_kgco2_ton,intensity_pos_kgco2_ton,delta_intensity_kgco2_ton,delta_relativo_pct,termo_escala_tco2e,termo_intensidade_tco2e,termo_interacao_tco2e
3540804,18.03550743813638,17.17780567729065,-0.8577017608457318,-4.755628660783379,6405.297068850739,-1458.092993437744,-304.61214321458345
3540903,19.528085487619023,18.75172603776742,-0.7763594498516042,-3.9756045227465995,5201.538790764304,-989.8582985607953,-206.7926114180445
3541406,23.711862554529223,21.736177909915348,-1.9756846446138745,-8.33205168961515,2042.9259887049875,-814.7842015466296,-170.21764935948096
3541604,24.0848269383339,22.632483470291643,-1.4523434680422582,-6.030117931761755,7209.6239426256625,-2081.0208373971786,-434.7488261768589
3541703,23.31448490842183,22.129948330059502,-1.1845365783623265,-5.080689464146984,9029.687345565699,-2196.005255406447,-458.77037361156994
3541802,17.907768497646273,17.058308180448826,-0.8494603171974475,-4.74352969946589,4066.8015556686983,-923.4058378094854,-192.90993961148556
3542107,20.39147388759992,19.570489492283674,-0.8209843953162448,-4.026116012219629,2147.0449816639225,-413.7761352393874,-86.44252179632917
3544004,20.955758004413653,20.088824438972704,-0.8669335654409487,-4.136970684898905,4653.70262769882,-921.5503800637284,-192.52231347027023
3545506,15.825873877777173,15.038530573212142,-0.7873433045650309,-4.9750384127010205,8492.977668293543,-2022.5274807666513,-422.52890137972315
3545704,23.44307263590299,22.20470523567928,-1.2383674002237086,-5.282444922885889,2295.978574295508,-580.5515906944754,-121.28380362842088
3547502,19.848766059756528,18.88218164033625,-0.9665844194202791,-4.86974563814339,6236.534635338911,-1453.7429668080997,-303.7033733757184
3549102,29.595713030459322,27.13921979013506,-2.4564932403242636,-8.300165763183639,4173.443800431999,-1658.132937218878,-346.40275346916695
3549409,21.77220955088669,20.692868119794756,-1.0793414310919331,-4.957427166816775,9096.922409833642,-2158.6828621838663,-450.97330288933614
3550100,22.721611561528356,21.77118732199935,-0.9504242395290063,-4.182908580033294,9256.26397704568,-1853.3272670815625,-387.18106008637477
3551306,19.89009859835558,18.982577419917856,-0.9075211784377224,-4.562678128266051,2393.433738366442,-522.7321987801281,-109.20467769498616
3551504,21.554149808179087,20.588499435003452,-0.9656503731756345,-4.480113489835736,2396.482625476252,-513.926853807058,-107.36514138553116
3551702,20.13895902063613,19.210326824477974,-0.928632196158155,-4.611123123129639,10728.504503717604,-2368.012100203295,-494.70455193692726
3551900,20.35692022558462,19.450214520413503,-0.9067057051711167,-4.454041648360772,2551.6747397065365,-544.0234231026701,-113.65265563723047
3552304,19.118968194073965,18.073854031824578,-1.0451141622493871,-5.466373245881158,4675.374558387049,-1223.3583826210202,-255.57342400440393
