geocode,delta_queima,delta_cana_dir,delta_fert_n,delta_calagem,delta_res_outros,balanco_liquido_total,balanco_so_robustos
4113007,89.69940212191186,672.1036857392841,2346.5378881756133,163.3931324992679,-368.83835356489146,2902.8957549711854,2813.196352849274
4115200,27.77435022691563,195.91714768826128,1207.1836624298655,319.01768552311455,-871.8558214170838,878.0370244510731,850.2626742241576
4117107,93.72000899370185,699.8525379544312,2211.741976112007,34.14596539681702,-92.79910524036518,2946.661383216592,2852.94137422289
4118105,298.37591204091416,2303.4633642253784,7355.993933217952,90.74112430692097,-70.52348617531712,9978.050847615848,9679.674935574934
4122602,285.6686624359859,2118.475158944635,6704.692630314738,95.73627703700609,-80.15826926208508,9124.41445947028,8838.745797034293
4124509,224.34280663708304,1698.5348420998992,5456.899515006324,74.41787870447244,-128.46623430162444,7325.728808146154,7101.38600150907
4124608,202.2584875211054,1521.3572469868689,4899.535761443236,82.85847897449956,-117.76191920108472,6588.2480557246245,6385.989568203519
4125803,160.2785728187105,1152.3826153995626,3771.9979349894247,143.50540958800343,-287.0071480909769,4941.157384704724,4780.878811886014
4126801,386.257481022035,2736.8128512961907,8536.797357408304,114.75736888542471,-137.7338202519943,11636.89123835996,11250.633757337924
4127304,173.07981523131554,1315.8466835475435,4245.19106318703,63.12136887808685,-228.41303404845837,5568.825896795518,5395.7460815642025
5000856,89.3683985820489,8178.378772959904,9536.440353924545,397.65765459984544,-313.89779591098045,17887.947384155366,17798.578985573316
5001003,35.40352500298826,2983.7346932381533,3447.3486785882455,213.90032742707768,-670.4023364417616,6009.984887814703,5974.581362811715
5002001,10.36495711192459,1123.5379352629236,1508.039246968993,457.46043476148384,-948.8010025822008,2150.6015715231247,2140.2366144111998
5002407,37.062702701406536,3375.40535258038,4878.658080922336,2193.935619229054,-3220.6203678981274,7264.441387535049,7227.378684833644
5003256,97.31793380496516,8040.556528942287,10225.120820657718,2057.2921121186296,-3366.5584184963213,17053.728977027276,16956.41104322231
5003801,3.919708950785469,325.9377762851939,612.0914984746103,243.09936927206377,-359.70340271825876,825.3449502643946,821.4252413136091
5004700,82.01651205071533,8142.3015862031025,9633.17029605738,643.0710107548484,-865.1812728114201,17635.378132254627,17553.361620203912
5005707,4.01610880418433,722.0802554942555,1588.3834918219777,1840.0277204269582,-2965.863684169782,1188.6438923775936,1184.6277835734095
5006002,147.309192939982,13717.530545752363,16266.322423433883,1308.8769461239067,-1603.466501026662,29836.572607223472,29689.26341428349
5006200,56.266124797486945,5015.550289591504,5960.6056579927035,641.6323724347283,-1755.4321794026205,9918.622265413802,9862.356140616315
5006275,25.788045728912422,2439.080159293787,2883.9097588217455,868.7292246477979,-2296.4418283825466,3921.065360109696,3895.277314380784
5006606,78.94653599009503,6785.990177601431,9736.548632114196,4664.9678507703775,-7092.668063450928,14173.785133025169,14094.838597035076
5007208,178.46716506114993,17406.15164784258,22664.89200345916,3224.2752764287648,-4136.6244583439475,39337.16163444771,39158.69446938656
5007935,29.695986251910146,2449.8508582520008,3162.159191580503,1127.2453749134927,-2265.5669502304245,4503.384460767482,4473.688474515572
5008404,13.88140927638649,1257.9280701255218,1523.302170492361,179.33406947368738,-237.1068928502917,2737.338826517665,2723.4574172412786
5100607,303.57544888826146,7398.862253751838,34584.607756240344,902.4285130954862,-1784.746870843037,41404.72710113289,41101.15165224463
5101704,321.00304797605116,7891.104163683012,34790.7784881762,290.1147576776095,-983.7106482528881,42309.289809259986,41988.28676128393
5102637,234.54122336338295,5611.887778562077,35874.89126225932,5329.618295815023,-11121.851857010619,35929.08670298919,35694.545479625805
5105234,55.78012512871248,1538.4647997015513,6377.620007357586,60.32005564995392,-443.83174864405584,7588.353239193748,7532.573114065035
5105622,24.740511006572756,645.4426381964007,2829.879208966461,59.39516028890524,-392.49908043205835,3166.9584380262813,3142.217927019709
5106232,145.23352793276896,3429.196861831063,15347.596825086574,127.44287571908818,-231.451070306127,18818.019020263364,18672.785492330597
5107925,0.3258382437128655,5.748972249624463,26628.58690789853,9225.4588974325,-23471.398757217252,12388.721858607114,12388.396020363401
5201306,44.32759032100818,1363.6155459500587,2279.3776902432364,101.94287680317642,-347.91826426789527,3441.345439049584,3397.017848728576
5204250,95.96551378815609,2751.3949523642164,4474.465081836702,189.70250103531606,-241.3756748101009,7270.15237421429,7174.1868604261335
5204300,137.33982288341352,3865.64930090031,6228.179921552662,159.18938869982978,-624.3260382153647,9766.03239582085,9628.692572937438
5205000,40.612938010522335,1105.9139858091596,1858.7680020467742,56.5431823742972,-151.0762847972614,2910.7618234434917,2870.1488854329696
5205471,123.84495600878036,3519.800265743092,7274.088012796919,1868.8608757643724,-3644.3277316947674,9142.266378618397,9018.421422609616
