treatment,snapshot,outcome,spec,ATT_mean,SE_mean,CI_lo,CI_hi,dose_slope,n_strata,n_munis,time_s
T2,2026,log1p_queima,LEAN,0.11044544934781761,0.26576580466523503,-0.410455527796043,0.6313464264916783,-0.04046911340532271,5,842,14.20128083229065
T2,2026,log1p_queima,FULL,0.13348045489403765,0.24975638055490595,-0.356042050993578,0.6230029607816533,-0.03003731477949358,5,842,19.17322587966919
T2,2026,log1p_queima,FULL2,0.2521068889904441,0.2863191266827253,-0.30907859930769754,0.8132923772885857,0.047183599510634625,5,842,22.774162530899048
T2,2026,log1p_queima,RICH,-0.7503385863935557,0.6272840639584402,-1.9798153517520984,0.4791381789649871,-0.09083505879434188,5,842,32.598748207092285
T2,2026,log_solos_manejados,LEAN,0.06621750929469186,0.03745827539797324,-0.007200710485335687,0.1396357290747194,0.004022143037674284,5,841,12.685316562652588
T2,2026,log_solos_manejados,FULL,0.062245593550842096,0.045625253580119644,-0.02717990346619241,0.1516710905678766,0.004253766583022397,5,841,20.201199054718018
T2,2026,log_solos_manejados,FULL2,0.04925948134812423,0.03846962540666934,-0.026140984448947663,0.12465994714519613,0.010319576414374303,5,841,18.423729419708252
T2,2026,log_solos_manejados,RICH,0.06941756930919848,0.06748725096437119,-0.06285744258096906,0.20169258119936603,0.007128701096906817,5,841,33.161630153656006
T2,2026,log1p_residuos_florestais,LEAN,0.18841379577261028,0.1821553736805674,-0.1686107366413018,0.5454383281865224,-0.06244720339402813,5,842,14.425851821899414
T2,2026,log1p_residuos_florestais,FULL,0.1236330619932509,0.21547590212177875,-0.29869970616543545,0.5459658301519372,-0.04972872865266464,5,842,18.745927572250366
T2,2026,log1p_residuos_florestais,FULL2,0.01907805927767517,0.18445669883845572,-0.34245707044569806,0.38061318900104835,-0.04593244691341165,5,842,18.13747215270996
T2,2026,log1p_residuos_florestais,RICH,0.2904434913637106,0.2513261706998452,-0.20215580320798598,0.7830427859354072,0.04224374197493878,5,842,35.12387704849243
T3,2022,asinh_luc,LEAN,0.005263831540597337,0.07551285252007209,-0.14274135939874394,0.15326902247993862,-0.0040915663755915445,5,842,11.701326131820679
T3,2022,asinh_luc,FULL,5.7447462124429056e-05,0.08438816739793915,-0.1653433606378363,0.16545825556208518,-0.0059274746256107284,5,842,23.904337167739868
T3,2022,asinh_luc,FULL2,-0.00968565496412653,0.08208700846136106,-0.1705761915483942,0.15120488162014117,-0.017262176166120607,5,842,17.808293342590332
T3,2022,asinh_luc,RICH,-0.014163470473294049,0.06665101694258896,-0.1447994636807684,0.1164725227341803,-0.05697650345385467,5,842,32.17380690574646
T3,2022,asinh_carbono_solo,LEAN,0.06709906684582116,0.08464643160563358,-0.09880793910122064,0.23300607279286295,0.023172912848451986,5,842,14.093470573425293
T3,2022,asinh_carbono_solo,FULL,0.027498261879707546,0.09649161194228846,-0.16162529752717783,0.21662182128659294,0.016595851818664364,5,842,18.880205392837524
T3,2022,asinh_carbono_solo,FULL2,0.0001880650623197977,0.09918092593917203,-0.1942065497784574,0.194582679903097,-0.0021846182257109752,5,842,18.251098155975342
T3,2022,asinh_carbono_solo,RICH,0.03733655558108203,0.09065847075047556,-0.14035404708985005,0.21502715825201413,-0.017804466829151627,5,842,31.886063814163208
T3,2022,log1p_queima,LEAN,0.04012659226814712,0.23695167554309624,-0.42429869179632146,0.5045518763326157,0.10668975786075421,5,842,14.054352045059204
T3,2022,log1p_queima,FULL,0.1768260048660766,0.24379387229327606,-0.3010099848287445,0.6546619945608977,0.07538449371554597,5,842,18.786562204360962
T3,2022,log1p_queima,FULL2,0.29321475104130795,0.45322002343287227,-0.5950964948871216,1.1815259969697376,0.1694643707548371,5,842,17.683103561401367
T3,2022,log1p_queima,RICH,-0.5853629148603453,0.6116197737730873,-1.7841376714555963,0.6134118417349058,0.08271182139149012,5,842,31.485323429107666
T3,2022,log_solos_manejados,LEAN,0.06371882693339918,0.032724429982716484,-0.0004210558327251285,0.1278587096995235,0.025649093523985863,5,841,14.038950681686401
T3,2022,log_solos_manejados,FULL,0.04961461173167023,0.042211488952768016,-0.033119906615755076,0.13234913007909554,0.028743327193869985,5,841,19.01001739501953
T3,2022,log_solos_manejados,FULL2,0.03882224404047138,0.03568745196294767,-0.03112516180690604,0.1087696498878488,0.0223150071657683,5,841,18.310923099517822
T3,2022,log_solos_manejados,RICH,0.04985062870870784,0.042974669567451704,-0.0343797236434975,0.13408098106091318,-0.0036021577647769626,5,841,34.31633758544922
T3,2022,log1p_residuos_florestais,LEAN,0.2863981315604228,0.2169644683839593,-0.1388522264721374,0.7116484895929831,0.0834729812372023,5,842,10.699647903442383
T3,2022,log1p_residuos_florestais,FULL,0.11135297799602877,0.21884652466456192,-0.3175862103465126,0.5402921663385701,0.05743622200394859,5,842,23.139766931533813
T3,2022,log1p_residuos_florestais,FULL2,0.02722226857037823,0.22397783848460884,-0.41177429485945505,0.4662188320002115,0.015362916811747266,5,842,17.778825044631958
