event_time,ATT,SE,CI_lo,CI_hi,zero_not_in_cband,outcome,spec,n_munis
-3,0.054093126544039485,0.08988463150082719,-0.12207751396123624,0.23026376704931523,,asinh_pam_area_milho_t,FULL2,842
-2,-0.02006966573523226,0.06499596739278747,-0.1474594209654354,0.10732008949497089,,asinh_pam_area_milho_t,FULL2,842
-1,-0.09956708350088692,0.07859399419080487,-0.25360848151601467,0.05447431451424087,,asinh_pam_area_milho_t,FULL2,842
0,0.18330885678756498,0.07886433888537235,0.02873759290767347,0.3378801206674565,*,asinh_pam_area_milho_t,FULL2,842
1,0.1108960087816696,0.09671239366779616,-0.07865679966587046,0.30044881722920963,,asinh_pam_area_milho_t,FULL2,842
2,0.06352499465297415,0.10579306727538318,-0.14382560702079986,0.2708755963267482,,asinh_pam_area_milho_t,FULL2,842
3,0.08773862257795452,0.11222981410909996,-0.1322277710675066,0.3077050162234157,,asinh_pam_area_milho_t,FULL2,842
4,0.132194067113955,0.14739064406204308,-0.1566862869058118,0.42107442113372184,,asinh_pam_area_milho_t,FULL2,842
5,-3.08124705394433,2.6484171288229628,-8.272049242476314,2.1095551345876533,,asinh_pam_area_milho_t,FULL2,842
-4,0.10309573604843039,0.13580642875688,-0.16307997318405912,0.36927144528091993,,asinh_pam_area_algodao_t,FULL2,842
-3,-0.22050239753807127,0.13127684146106453,-0.4778002788059323,0.036795483729789746,,asinh_pam_area_algodao_t,FULL2,842
-2,-0.06595510890389017,0.09042430066761621,-0.24318348153963912,0.11127326373185878,,asinh_pam_area_algodao_t,FULL2,842
-1,-0.10024533432816458,0.11216980497455836,-0.3200941122311808,0.1196034435748516,,asinh_pam_area_algodao_t,FULL2,842
0,0.08016571723902254,0.11443463358824489,-0.144122043177975,0.3044534776560201,,asinh_pam_area_algodao_t,FULL2,842
1,0.23087589575354175,0.13561331949435568,-0.03492132627931896,0.49667311778640244,,asinh_pam_area_algodao_t,FULL2,842
2,0.4037326865219799,0.18658501467413888,0.03803277770579022,0.7694325953381695,*,asinh_pam_area_algodao_t,FULL2,842
3,0.32199021845846393,0.17842360024693266,-0.027713612017495948,0.6716940489344239,,asinh_pam_area_algodao_t,FULL2,842
4,0.31327424081854527,0.29428534850963006,-0.26351444343814767,0.8900629250752382,,asinh_pam_area_algodao_t,FULL2,842
5,0.09909157924058268,0.35940224948118704,-0.6053238857052233,0.8035070441863886,,asinh_pam_area_algodao_t,FULL2,842
-4,0.001346912293377257,0.0009752094587459645,-0.000564463123147633,0.003258287709902147,,log1p_share_cana_mapb,FULL2,842
-3,0.0006371565427663125,0.0011697682022127494,-0.0016555470038308435,0.0029298600893634687,,log1p_share_cana_mapb,FULL2,842
-2,0.0005687416953342347,0.000771514512143717,-0.0009433989620174409,0.0020808823526859105,,log1p_share_cana_mapb,FULL2,842
-1,0.0009408311762560674,0.0006922779123814311,-0.00041600859930411257,0.0022976709518162473,,log1p_share_cana_mapb,FULL2,842
0,0.0020285616275238305,0.0010584080355967172,-4.588000319352258e-05,0.004103003258241184,,log1p_share_cana_mapb,FULL2,842
1,0.0019005906509749514,0.001151784961800181,-0.0003568663920882453,0.004158047694038148,,log1p_share_cana_mapb,FULL2,842
