geocode,delta_queima_ar6,delta_cana_dir_ar6,delta_fert_n_ar6,delta_calagem_ar6,delta_res_outros_ar6,balanco_so_robustos_ar6,balanco_liquido_total_ar6
5006002,144.96058410914645,14131.644675435453,16757.381213575285,1308.8769461239067,-1651.873036906712,30546.02979822793,30690.990382337077
5006200,55.36905167571569,5166.963128522569,6140.548470309464,641.6323724347283,-1808.4263584034543,10140.717612863305,10196.086664539022
5006275,25.37689669795146,2512.712767876241,2970.971185503157,868.7292246477979,-2365.7683741450387,3986.644803882157,4012.0217005801082
5006606,77.687860086102,6990.850258434682,10030.48217572519,4664.9678507703775,-7306.78634461171,14379.51394031854,14457.201800404642
5007208,175.62179233517497,17931.620376834053,23349.11515828057,3224.2752764287648,-4261.503687275085,40243.507124268304,40419.12891660348
5007935,29.222531376761765,2523.8086200105517,3257.6206011376503,1127.2453749134927,-2333.9614241996446,4574.713171862051,4603.9357032388125
5008404,13.660092468112026,1295.9032571481791,1569.2886511109984,179.33406947368738,-244.26483678539483,2800.2611409474703,2813.9212334155823
5100607,298.73542522202405,7622.224133110383,35628.67138661741,902.4285130954862,-1838.6260216609398,42314.69801116235,42613.433436384366
5101704,315.88516919228204,8129.326176171556,35841.06614064944,290.1147576776095,-1013.4075734831639,43247.099501015444,43562.98467020773
5102637,230.8018397078724,5781.303258669612,36957.90684753507,5329.618295815023,-11457.605875335468,36611.22252668424,36842.024366392114
5105234,54.8908004922264,1584.9090200699,6570.151932108003,60.32005564995392,-457.23044294274433,7758.1505648851125,7813.041365377339
5105622,24.346063236750982,664.9276989721411,2915.309524708845,59.39516028890524,-404.3481092752903,3235.2842746946008,3259.6303379313517
5106232,142.9180122515767,3532.719785961812,15810.920502825036,127.44287571908818,-238.4382724285761,19232.64489207736,19375.562904328937
5107925,0.32064327548763205,5.922526128858409,27432.468776816222,9225.4588974325,-24179.969285737017,12483.880914640562,12484.20155791605
5201306,43.62085798475814,1404.7812982806265,2348.1890922128437,101.94287680317642,-358.4214571514544,3496.491810145192,3540.11266812995
5204250,94.43549757776,2834.4559320582302,4609.543272986489,189.70250103531606,-248.66248763455675,7385.039218445479,7479.474716023238
5204300,135.15015966951756,3982.348147719942,6416.200447486327,159.18938869982978,-643.1736167275267,9914.564367178573,10049.714526848089
5205000,39.96542984790174,1139.3000683996247,1914.8817530519598,56.5431823742972,-155.63707830057496,2955.0879255253067,2995.0533553732084
5205471,121.87044680448942,3626.058386973072,7493.6831226172035,1868.8608757643724,-3754.3451726515905,9234.257212703058,9356.127659507547
5207402,165.25906871900327,5271.0498949755565,8559.863911484188,394.41225531454603,-574.1231015650321,13651.202960209259,13816.462028928263
5208608,119.47828898496579,3567.67208541169,5792.237494570786,158.42011884736485,-405.9147808813425,9112.414917948498,9231.893206933464
5209101,320.9212273446944,9620.108741682083,15737.619460740718,1160.4413621428898,-1673.738541716864,24844.43102284883,25165.352250193522
5210000,57.46607018786511,1701.2423245161049,2788.550909702904,90.78189695369839,-222.7700174655861,4357.805113707121,4415.271183894986
5210109,36.428721344866105,918.2779669824652,1986.2149577813736,1103.9654207792164,-2911.030836140717,1097.4275094023383,1133.8562307472043
5210901,38.127193588574954,1137.097018384382,1850.1083053967527,59.34987751164917,-244.08552045112688,2802.469680841657,2840.5968744302318
5211503,328.02125070967696,9806.14220825452,15957.967592123943,630.753645737242,-864.2052530812098,25530.658193034495,25858.679443744168
5211701,54.54357463119355,1624.1166291227942,2682.8446161962333,154.13394937387616,-419.80779540098996,4041.2873992919135,4095.8309739231067
5211909,186.34711426524436,6039.378855797122,15239.95971567483,4788.3815875791,-12428.542472069863,13639.17768698119,13825.524801246434
5213103,230.4459357757618,6856.546768094537,12695.402051276353,1789.3469599624075,-4990.009633582823,16351.286145750473,16581.732081526236
5213707,15.515984562591042,444.95092052843887,740.64573400994,340.3463750666291,-1326.6908519815047,199.25217762350348,214.7681621860943
5213806,124.92024318959265,3619.1981516034602,5979.384427423189,499.9711451505469,-1477.1140463894237,8621.439677787772,8746.359920977364
5216403,92.01593089963507,2648.069670090666,5120.024674747017,1671.8317817565107,-3550.0478446536517,5889.878281940543,5981.894212840177
5216452,31.596041764126888,940.0892114374634,2258.1201354290906,902.0974371778871,-1895.5857458907333,2204.721038153708,2236.3170799178342
5218508,510.7880654296644,14769.484374567734,23765.734802390412,728.0069919644449,-1259.9358084659038,38003.29036045669,38514.07842588635
5218904,34.130713335754635,1063.71401549208,1735.5104952189402,38.8405300812085,-209.8035491527071,2628.2614916395214,2662.3922049752764
5219308,186.95811949112954,5583.840813337363,9511.151524219398,922.4299479093144,-1460.0991804416747,14557.323105024401,14744.281224515531
5219712,43.54831157694175,1239.7254867046806,2042.4392138193673,116.42162455063843,-206.42905263039822,3192.1572724442885,3235.70558402123
5221551,127.0072025962043,3865.9864614934304,6289.708715165612,420.4797736657331,-558.9685463845033,10017.206403940272,10144.213606536476
5221601,34.468409197229334,1025.5518670226875,1671.1772572347174,226.01862851409098,-647.89546318867,2274.8522895828255,2309.320698780055
5222203,54.36993000285565,1619.8426902871236,2666.439128231489,82.51490127737476,-302.4982114281215,4066.2985083678655,4120.668438370722
