Cidade,uf,ano,solos_pipeline,solos_cana_residuo,solos_cana_subproduto,solos_cana_atribuivel,share_cana
Jacuí (MG),MG,2015,3645.222847026564,44.17097123769645,36.336214001959064,80.50718523965551,0.02208566900246602
Jacuí (MG),MG,2016,3812.8936233307672,43.80229571548916,34.72899977958675,78.53129549507591,0.02059624611988902
Jacuí (MG),MG,2017,3135.516704454301,3.805682344267518,3.0832135338063056,6.888895878073823,0.002197052839261704
Jacuí (MG),MG,2018,3404.475174800732,3.7891455815869968,3.052171742283018,6.841317323870015,0.0020095071846927023
Jacuí (MG),MG,2019,3366.147436994589,3.674985114258624,3.2443104928834026,6.919295607142026,0.0020555533400283287
Jacuí (MG),MG,2020,4290.9814237280825,4.272601141531908,3.6325120730639635,7.905113214595872,0.0018422622784807505
Jacuí (MG),MG,2021,4845.592779057554,4.2593990499244745,3.5339476791405775,7.7933467290650515,0.0016083371187829824
Jacuí (MG),MG,2022,5115.22963576091,4.1648139116400955,3.4943634314574723,7.659177343097568,0.0014973281530807044
Jacuí (MG),MG,2023,5880.995223166224,6.025663711756905,5.108180865861093,11.133844577617998,0.0018931905494090392
Jacuí (MG),MG,2024,6456.653827234746,4.757102930334398,4.132049892633555,8.889152822967953,0.0013767429787659837
Jaguapitã (PR),PR,2012,43227.92865224944,2950.4625710655246,2955.7589701975417,5906.221541263067,0.13662976056003384
Jaguapitã (PR),PR,2013,33407.44580975821,1938.3306929205837,1918.3099345129579,3856.6406274335413,0.11544254683209061
Jaguapitã (PR),PR,2014,56270.150054690705,3823.231440442294,3635.5033835823833,7458.734824024677,0.13255224691555473
Jaguapitã (PR),PR,2015,55496.55401838725,3788.701654724233,3442.2498558883385,7230.951510612571,0.13029550462208508
Jaguapitã (PR),PR,2016,60570.22028985735,3923.4912464672207,3036.229524396006,6959.720770863227,0.11490334255939054
Jaguapitã (PR),PR,2017,54620.84290798072,3238.0796596422188,2768.924880960947,6007.004540603166,0.10997641597591448
Jaguapitã (PR),PR,2018,50037.11317130272,2320.674526702311,2164.1041628717085,4484.778689574019,0.08962904542914615
Jaguapitã (PR),PR,2019,47669.90844686328,3039.9129836838088,2305.417816448567,5345.330800132376,0.11213218095626745
Jaguapitã (PR),PR,2020,58820.83625653361,3606.8544281627437,2745.852324880711,6352.706753043454,0.10800095947867144
Jaguapitã (PR),PR,2021,74279.50906923342,4135.1504431415015,2949.426575073144,7084.577018214645,0.0953772730459399
Jaguapitã (PR),PR,2022,61362.11592706948,3292.028312525005,2416.2829340449407,5708.311246569945,0.0930266363916529
Jaguapitã (PR),PR,2023,66956.446505284,3200.0367103865956,2501.181988211915,5701.21869859851,0.08514816714696154
Jaguapitã (PR),PR,2024,91370.21757549666,3920.4649796541476,3184.8084202989053,7105.273399953053,0.07776356003620287
Jaguaraçu (MG),MG,2012,695.8950739846777,10.190868058781325,7.345485512417347,17.53635357119867,0.02519970930500478
Jaguaraçu (MG),MG,2013,671.4327474197976,10.165117233296025,8.66770511532567,18.832822348621697,0.028048709898337618
Jaguaraçu (MG),MG,2014,618.5200104293231,5.6053052958999094,4.620859502857194,10.226164798757104,0.016533280453867587
Jaguaraçu (MG),MG,2015,588.54047931079,5.014679799927697,4.125208779787217,9.139888579714913,0.015529753519109126
Jaguaraçu (MG),MG,2016,659.8802402953944,4.972824489932545,3.9427435889786278,8.915568078911173,0.01351088808920863
Jaguaraçu (MG),MG,2017,512.5568596824245,1.9345551916693218,1.567300213018205,3.501855404687527,0.0068321305988515
Jaguaraçu (MG),MG,2018,506.40389336915376,1.992613620526868,1.6050581469907896,3.5976717675176575,0.007104352503259802
Jaguaraçu (MG),MG,2019,509.16221615381323,1.8681174330814672,1.64919116721573,3.517308600297197,0.006908031445983514
Jaguaraçu (MG),MG,2020,519.6236811854318,2.513294789136417,2.1367718076846853,4.650066596821102,0.008948912001494575
Jaguaraçu (MG),MG,2021,521.0435155729112,2.0044230823174,1.6630342019485072,3.6674572842659074,0.007038677528177987
Jaguaraçu (MG),MG,2022,503.2164384502396,1.561805216865036,1.310386286796552,2.872191503661588,0.0057076662926733935
Jaguaraçu (MG),MG,2023,493.75002150001376,1.5222729377070074,1.290487797691223,2.8127607353982302,0.005696730355277872
Jaguaraçu (MG),MG,2024,485.16386325192644,1.6649860256170395,1.446217462421744,3.1112034880387833,0.006412685947352304
Jaguariaíva (PR),PR,2012,19330.269802865227,0.0,0.0,0.0,0.0
Jaguariaíva (PR),PR,2013,18784.120995508067,0.0,0.0,0.0,0.0
Jaguariaíva (PR),PR,2014,19496.546911457554,0.0,0.0,0.0,0.0
Jaguariaíva (PR),PR,2015,20411.318699454492,0.0,0.0,0.0,0.0
Jaguariaíva (PR),PR,2016,18054.349763137423,0.0,0.0,0.0,0.0
Jaguariaíva (PR),PR,2017,20521.28458969008,0.0,0.0,0.0,0.0
Jaguariaíva (PR),PR,2018,19203.785666359778,0.0,0.0,0.0,0.0
Jaguariaíva (PR),PR,2019,23850.639124675406,0.28563923705935096,0.21662389342322602,0.502263130482577,2.1058686430039743e-05
Jaguariaíva (PR),PR,2020,27277.681434813258,0.2784914702783283,0.2120120083450982,0.4905034786234265,1.7981861097527863e-05
Jaguariaíva (PR),PR,2021,30895.840640117905,0.3329412201651392,0.2374727827184728,0.570414002883612,1.846248527521649e-05
Jaguariaíva (PR),PR,2022,31102.282909427613,0.3405710943830051,0.2499723711536009,0.590543465536606,1.898714210967461e-05
Jaguariaíva (PR),PR,2023,31634.903708625243,0.7769458781401788,0.6072689822314369,1.3842148603716158,4.3755937211663146e-05
Jaguariaíva (PR),PR,2024,28867.729092393343,0.7853044589428253,0.6379458218142328,1.423250280757058,4.9302467686385655e-05
Jaguariúna (SP),SP,2012,6834.916887034138,1342.5680831390744,1079.370129012475,2421.938212151549,0.3543478658454464
Jaguariúna (SP),SP,2013,6939.439478790865,1388.915795997887,1131.3597317691879,2520.275527767075,0.36318142631978256
Jaguariúna (SP),SP,2014,5739.482052547507,1173.3060842637603,950.8176970232597,2124.12378128702,0.370089802849756
Jaguariúna (SP),SP,2015,6025.035297190577,1453.783009347429,1063.8493831451615,2517.6323924925905,0.4178618494843576
Jaguariúna (SP),SP,2016,6927.415194882436,1453.783009347429,1003.776387279602,2457.5593966270308,0.35475849613323746
Jaguariúna (SP),SP,2017,5253.383090136478,1026.9498667337912,693.1494982108123,1720.0993649446036,0.3274269809438011
Jaguariúna (SP),SP,2018,5177.386813355841,1005.1502261113172,731.9326842907782,1737.0829104020954,0.3355134497428377
Jaguariúna (SP),SP,2019,5206.8830557003985,1037.8496870450278,763.9784281074274,1801.8281151524552,0.3460473561394561
Jaguariúna (SP),SP,2020,5620.24804749837,1048.7495073562652,783.0996216612347,1831.8491290174998,0.3259374165581312
Jaguariúna (SP),SP,2021,5714.234362421944,1035.3343438962809,686.144623553068,1721.4789674493488,0.301261526613289
Jaguariúna (SP),SP,2022,5405.343500512657,1054.618641370008,675.5803476079508,1730.1989889779588,0.3200904787667726
Jaguariúna (SP),SP,2023,5276.173446803544,1054.618641370008,775.9479921237589,1830.5666334937669,0.34694966948116085
