Cidade,uf,corr_pearson,corr_spearman
Brumadinho (MG),MG,-0.5079186432296154,-0.6242424242424243
Brás Pires (MG),MG,-0.6117513308408246,-0.7538028741632801
Bueno Brandão (MG),MG,0.7742837820123408,0.3696969696969697
Buenópolis (MG),MG,0.07204817546947556,0.11515151515151516
Bugre (MG),MG,0.98386830820131,0.1875916198442167
Buritama (SP),SP,0.9641739957255622,0.8424242424242424
Buriti Alegre (GO),GO,0.6750760897407315,0.5757575757575758
Buriti de Goiás (GO),GO,-0.05168836779505766,-0.24580394711961082
Buritinópolis (GO),GO,0.964471911370784,0.7978634243562576
Buritis (MG),MG,0.9106134989346409,0.793939393939394
Buritizal (SP),SP,0.5939975116598669,0.5393939393939394
Buritizeiro (MG),MG,0.2167863158057623,0.3212121212121212
Bálsamo (SP),SP,0.5618381720173014,0.5151515151515151
Caarapó (MS),MS,-0.18835289512761447,-0.17575757575757575
Cabeceira Grande (MG),MG,-0.39777047360896967,-0.24580394711961082
Cabeceiras (GO),GO,-0.5877424835200068,-0.6636434090439899
Cabo Verde (MG),MG,-0.2873236464193501,-0.44242424242424244
Cabreúva (SP),SP,-0.5381875189809896,-0.40606060606060607
Cabrália Paulista (SP),SP,0.9869716613581688,0.9151515151515152
Cachoeira Alta (GO),GO,0.5462933609844117,0.2
Cachoeira Dourada (GO),GO,0.6508528529222968,0.6363636363636364
Cachoeira Paulista (SP),SP,0.7898457295759527,0.7090909090909091
Cachoeira da Prata (MG),MG,0.826004877498634,0.8997002046464956
Cachoeira de Minas (MG),MG,-0.3203674884788367,0.1063019179117228
Cachoeira de Pajeú (MG),MG,0.9379499110698412,0.4303030303030303
Caconde (SP),SP,0.5773686812973432,0.3090909090909091
Caetanópolis (MG),MG,-0.3519308841317134,-0.05454545454545454
Caeté (MG),MG,0.8622742165435324,0.6848484848484848
Cafeara (PR),PR,0.7435976306049302,0.793939393939394
Cafelândia (PR),PR,-0.3360638605042837,-0.2
Cafelândia (SP),SP,0.9235213184048612,0.9636363636363636
Cafezal do Sul (PR),PR,0.6204655214532675,0.0778498944161523
Caiabu (SP),SP,-0.17111429769839032,-0.05454545454545454
Caiana (MG),MG,0.15999900529473626,0.28677127163954597
Caieiras (SP),SP,0.9230741649668042,0.7055745870108262
Caiuá (SP),SP,0.9725356386775512,0.9515151515151515
Cajati (SP),SP,0.6873038173251924,0.22701095408174407
Cajobi (SP),SP,0.8306292339345098,0.8545454545454545
Cajuri (MG),MG,0.7812634829017168,0.9151515151515152
Cajuru (SP),SP,0.8961946063106756,0.5515151515151515
Caldas Novas (GO),GO,0.9305558140985288,0.9387209722839687
Caldazinha (GO),GO,0.028649899848179523,-0.058025885318565944
Califórnia (PR),PR,0.4259839062992223,0.5222329678670935
Camacho (MG),MG,0.441698982385157,0.8787878787878788
Camanducaia (MG),MG,0.12286743739521744,-0.020483662259967568
Camapuã (MS),MS,0.7934790447051072,0.8181818181818182
Cambará (PR),PR,0.7846867726421699,0.4909090909090909
Cambira (PR),PR,0.10646812828320769,0.006060606060606061
Cambuquira (MG),MG,-0.11859222352878945,-0.16386929807974054
Cambuí (MG),MG,0.45363857230408533,0.22424242424242424
Cambé (PR),PR,0.010155607908953814,-0.1745572096355137
Campanha (MG),MG,-0.701333743047301,-0.5757575757575758
Campanário (MG),MG,0.002388772788161251,0.1393939393939394
Campestre (MG),MG,0.5649217836140275,0.5757575757575758
Campina Verde (MG),MG,0.9600909254648762,0.6848484848484848
Campina da Lagoa (PR),PR,-0.47064724643197886,-0.39789946034922286
Campina do Monte Alegre (SP),SP,0.26521170844717995,0.20041753698892312
Campina do Simão (PR),PR,0.7606840066740991,0.793939393939394
Campinas (SP),SP,0.9383773111532948,0.9030303030303031
Campinorte (GO),GO,0.9777393063575196,0.9757575757575757
Campinápolis (MT),MT,-0.6463060887263601,-0.8469257208241591
Campo Alegre de Goiás (GO),GO,0.024958758306403483,0.21212121212121213
Campo Azul (MG),MG,0.9710219190110618,0.806060606060606
Campo Belo (MG),MG,-0.4143026216821533,0.11515151515151516
Campo Bonito (PR),PR,0.20209106672636462,0.2
Campo Florido (MG),MG,0.7534266394366784,0.7212121212121212
Campo Grande (MS),MS,0.026019848040621678,-0.16363636363636364
Campo Limpo de Goiás (GO),GO,-0.40466191387823836,-0.4151994368861456
Campo Mourão (PR),PR,-0.6095791382468342,-0.4909090909090909
Campo Novo do Parecis (MT),MT,0.846252091544204,0.9151515151515152
Campo Verde (MT),MT,0.33876353410900534,0.6484848484848484
Campo do Meio (MG),MG,-0.3124255201008826,-0.4666666666666667
Campos Altos (MG),MG,0.17859733719012313,0.020483662259967568
Campos Belos (GO),GO,0.7554911046469748,0.7988628281387351
Campos Gerais (MG),MG,0.657057139691988,0.3939393939393939
Campos Novos Paulista (SP),SP,0.05152356775664724,0.3212121212121212
Campos de Júlio (MT),MT,-0.36691940584791877,-0.3333333333333333
Cana Verde (MG),MG,-0.7150725414026795,-0.7647233910387892
Cananéia (SP),SP,0.7291860178780621,-0.296969696969697
Canarana (MT),MT,-0.8620452630018806,-0.8469257208241591
Canaã (MG),MG,0.04271179766876023,-0.1393939393939394
Candeias (MG),MG,0.4320545983299692,0.503030303030303
Candói (PR),PR,0.043378171171771104,0.21212121212121213
Canitar (SP),SP,0.558204299202384,0.6242424242424243
Cantagalo (MG),MG,0.993247760015488,0.9272727272727272
Cantagalo (PR),PR,0.36989973849507923,0.7212121212121212
Canápolis (MG),MG,0.969771933902244,0.9393939393939394
Capanema (PR),PR,0.0407735408506325,-0.1393939393939394
Caparaó (MG),MG,-0.5676042388468429,-0.614509867799027
Capela Nova (MG),MG,0.9370758874754518,0.4666666666666667
Capela do Alto (SP),SP,0.01958928688288723,0.12727272727272726
Capelinha (MG),MG,0.11173836506196189,0.07878787878787878
Capetinga (MG),MG,-0.6098884079193202,-0.6253053994807224
