Cidade,uf,share_cana_mean,share_cana_median,solos_pipeline_total,solos_cana_atribuivel_total,n_anos
Assis Chateaubriand (PR),PR,0.00026035086732566985,0.00027327186505556424,1061750.8413054952,273.70298203084593,10
Astolfo Dutra (MG),MG,0.010232754794859454,0.0077040514898419465,10875.777399764731,124.53795340508545,10
Astorga (PR),PR,0.033041016112231245,0.03417373030719946,400267.60824871215,13081.739729244695,10
Atalaia (PR),PR,0.046834116380539983,0.04534981754423014,134163.84293590358,6246.836253530554,10
Ataléia (MG),MG,0.0029355853165582047,0.0014399185781194205,124283.41917407108,380.39019276616335,10
Atibaia (SP),SP,0.00929683234508295,0.009304964976304243,31332.978232499278,291.02934269781144,10
Augusto de Lima (MG),MG,0.03865689077051211,0.039073872652167115,53373.072449698215,2113.8744322185253,10
Auriflama (SP),SP,0.30991580186156253,0.31137343211221413,133057.18075618357,41276.135203710204,10
Aurilândia (GO),GO,0.0,0.0,31935.58882788876,0.0,10
Avanhandava (SP),SP,0.3872021456326424,0.3847890392187474,296293.84789708175,115515.29739621391,10
Avaré (SP),SP,0.18579236507851182,0.17978462382331306,358234.4636197141,63361.90924094062,10
Avaí (SP),SP,0.17636496533332535,0.18040786989721602,62613.54645528858,11150.695416104594,10
Avelinópolis (GO),GO,0.15628173817716592,0.15867057439258764,72244.6690390776,11017.397875729635,10
Açucena (MG),MG,0.013449910543039876,0.010504070810560456,40950.84817764377,579.688567430397,10
Bady Bassitt (SP),SP,0.3280313715442369,0.3337358683377021,58980.03156414183,19391.68465745945,10
Baependi (MG),MG,0.0005762761066717293,0.0,51485.60389192347,34.968427244787804,10
Balbinos (SP),SP,0.4024327153245001,0.3979048175875636,91113.27179046354,36439.83453609049,10
Baldim (MG),MG,0.020336839011916526,0.01533017848456433,33400.71622664422,771.0441578980284,10
Baliza (GO),GO,0.0,0.0,120236.93424535709,0.0,10
Balsa Nova (PR),PR,0.0,0.0,129226.03791001897,0.0,10
Bambuí (MG),MG,0.09894137351057804,0.09806223329379543,823244.9675942396,81034.50587703937,10
Bananal (SP),SP,0.016421349906735307,0.016348495471896977,28007.208856301106,458.08096302777835,10
Bandeira (MG),MG,0.00837539029653839,0.0032577000765636,17117.13344457542,161.66914366644488,10
Bandeira do Sul (MG),MG,0.0,0.0,4343.894151230069,0.0,10
Bandeirantes (MS),MS,0.0,0.0,805270.3364060725,0.0,10
Bandeirantes (PR),PR,0.09102198930995517,0.08950400296113428,689366.4640355402,62242.01414545411,10
Barbacena (MG),MG,0.00030247431863552243,0.000335076216313059,65923.32495679613,20.763959242221333,10
Barbosa (SP),SP,0.364258244471321,0.37113303512838225,125895.59994467792,47083.42389646603,10
Barbosa Ferraz (PR),PR,0.007097495208766809,0.007248641586629208,194524.20119789906,1390.6941638524406,10
Bariri (SP),SP,0.3581966117747953,0.3554530825574457,394754.8570349857,141039.18323347133,10
Barra Bonita (SP),SP,0.40976443915191707,0.40909566649321516,154933.41064997713,63486.64964053541,10
Barra Longa (MG),MG,0.032027419538514,0.030000202125799035,28496.971764824877,932.9225919276512,10
Barra do Bugres (MT),MT,0.09060807987992772,0.08961417881218728,4193114.0064844945,361386.9809862636,10
Barra do Chapéu (SP),SP,0.0015016213884660398,0.0014064394076132814,17772.03916303134,25.893508386311545,10
Barra do Garças (MT),MT,0.00021542944185081364,0.0002053445550504263,532528.812984188,88.41120490496125,10
Barra do Jacaré (PR),PR,0.09242479049471633,0.09190526711954053,247989.2284204059,22888.039834018622,10
Barra do Turvo (SP),SP,0.00045275697479281815,0.00048797674809543477,24622.40012822352,10.891200400998788,10
Barracão (PR),PR,0.0023247752107143573,0.0022320364278718284,48076.81131838039,112.57834605195254,10
Barretos (SP),SP,0.3791183926294625,0.37745136070828533,1412286.1280537497,531040.1012986858,10
Barrinha (SP),SP,0.4003957030250834,0.3976063148479796,189563.48765718375,75544.85024990203,10
Barro Alto (GO),GO,0.18486404136271226,0.18892284228479922,320437.7858453688,58087.33256196693,10
Barroso (MG),MG,0.025814490382991988,0.013826958874458006,5095.93041195103,143.524873110993,10
Barueri (SP),SP,0.0,0.0,1035.175611008287,0.0,10
Barão de Antonina (SP),SP,0.0,0.0,36722.41948201369,0.0,10
Barão de Cocais (MG),MG,0.042346592211426635,0.03978763646330395,7069.112746987415,308.9368526865653,10
Barão de Melgaço (MT),MT,0.0004055536952779189,0.00038429252154413194,107501.83600740973,43.296839466009196,10
Barão de Monte Alto (MG),MG,0.005553992400635142,0.005188494829201738,12063.365302398568,68.98850887793674,10
Bastos (SP),SP,0.3176061404257258,0.3177271103320828,40006.3804229208,12857.322838578419,10
Bataguassu (MS),MS,0.0,0.0,197176.55021699256,0.0,10
Batatais (SP),SP,0.39330093374141634,0.39081667938482645,865558.0341962214,339059.2470990394,10
Batayporã (MS),MS,0.10783639081162073,0.10114226962958078,541320.9882361061,58935.04561330407,10
Bauru (SP),SP,0.14484305334924208,0.14432252130206175,58696.72088275712,8520.587575738236,10
Bebedouro (SP),SP,0.3787172579650039,0.37517322667513975,683565.8264453401,258506.76884212624,10
Bela Vista (MS),MS,0.00011967620351171585,7.521214049081832e-05,604960.9652784294,64.60751089142511,10
Bela Vista da Caroba (PR),PR,0.001053096713405983,0.0010329731637418612,58568.20657348979,59.07409796981031,10
Bela Vista de Goiás (GO),GO,1.2135228550049979e-05,0.0,298418.93170655024,5.5176683058809015,10
Bela Vista de Minas (MG),MG,0.006751208448157626,0.00989963744677098,2713.3124218190787,19.031514261069592,10
Bela Vista do Paraíso (PR),PR,0.00030072110604232845,0.0,227529.6370430408,66.4063058794791,10
Belmiro Braga (MG),MG,0.004404745141255563,0.004148883245511353,17419.507372761276,76.97078798822871,10
Belo Horizonte (MG),MG,0.0,0.0,1065.6911960657112,0.0,10
Belo Oriente (MG),MG,0.024752587661654366,0.02174660837813852,13915.587105296745,361.1182018497243,10
Belo Vale (MG),MG,0.008430787652241289,0.005214189199159912,25468.641022526735,215.12444160460387,10
Bento de Abreu (SP),SP,0.3856331600562873,0.38132279998867447,267988.8615127384,103172.50634939387,10
Berilo (MG),MG,0.00854206011148437,0.008262291541259882,31788.724742138158,271.47805094067974,10
Berizal (MG),MG,0.004130464906084364,0.0037266351735424086,12767.514490339636,52.4896595748395,10
Bernardino de Campos (SP),SP,0.24949987859322742,0.25397686235801276,135245.2573471083,33556.95749366534,10
Bertioga (SP),SP,0.0,0.0,7144.6714123982865,0.0,10
Bertópolis (MG),MG,0.0017637295970752722,0.0005124501541860761,26381.846289313882,46.90024588776697,10
Betim (MG),MG,0.01577752546927038,0.01586289346812167,8665.87858729264,136.59909273684198,10
Bias Fortes (MG),MG,0.003536354281196458,0.001157188376676636,13747.32592550071,51.24868503446734,10
Bicas (MG),MG,0.014153880843720362,0.011474708562499677,9586.84275254538,138.52850356795176,10
Bilac (SP),SP,0.31867283572478466,0.3201656046146873,99777.35148892537,31594.20944408391,10
Biquinhas (MG),MG,0.003651449308903211,0.003134688507702944,22870.466726060873,86.15452386209526,10
Birigui (SP),SP,0.2072889674363716,0.20830263551689066,329222.2465193019,68525.22841560349,10
Biritiba Mirim (SP),SP,0.0,0.0,5381.270671632131,0.0,10
Bituruna (PR),PR,0.006158109858811935,0.006143743555103149,82651.32747297686,507.05814209244966,10
Boa Esperança (MG),MG,0.00020066678571887585,0.00023723372301092603,190000.27878249588,38.92513585096119,10
Boa Esperança (PR),PR,0.0,0.0,290386.35578903346,0.0,10
Boa Esperança do Iguaçu (PR),PR,0.00036448265649755815,0.00017951913531696938,58875.72418972163,19.859489621029926,10
Boa Esperança do Sul (SP),SP,0.3806269341847612,0.37798911181523,597069.001195,226648.45734015608,10
Boa Ventura de São Roque (PR),PR,8.273139525085393e-05,0.0,182788.80470790595,11.334008203095898,10
Boa Vista da Aparecida (PR),PR,0.0022911665518661754,0.0021278614025443017,71352.64917540096,160.90730293690262,10
Bocaina (SP),SP,0.3908700944435627,0.3835729889775535,280134.7725222535,109345.7700877058,10
Bocaina de Minas (MG),MG,0.006987389280709808,0.006148210509859394,9804.416497872448,70.13149632257476,10
Bocaiúva (MG),MG,0.01966355066289342,0.014156505551925372,127667.19897553409,2919.691090600521,10
Bocaiúva do Sul (PR),PR,0.0,0.0,41587.32356733427,0.0,10
Bodoquena (MS),MS,0.00038990954129772065,0.00037815797501097366,144640.94959973227,57.15105816078119,10
Bofete (SP),SP,0.022338841008767214,0.024619728258726076,28868.443973343565,636.3746913303582,10
Boituva (SP),SP,0.3724163743228003,0.3702120228758031,136355.7414788115,50746.199706507665,10
Bom Despacho (MG),MG,0.06879906820301367,0.0651739490932148,237277.16475766644,16248.76171111127,10
Bom Jardim de Goiás (GO),GO,0.00016401169497980923,0.0,157590.33298672197,18.14920882403538,10
Bom Jardim de Minas (MG),MG,0.009377890020329212,0.004031607396832882,8419.535753394364,88.1379981696532,10
Bom Jesus da Penha (MG),MG,0.0,0.0,82703.61372952031,0.0,10
Bom Jesus de Goiás (GO),GO,0.13865903379833203,0.13747664459895698,1992480.512502856,267256.0575549849,10
Bom Jesus do Amparo (MG),MG,0.02726148588317453,0.02403847592410268,8872.017881377224,265.0467098276962,10
Bom Jesus do Araguaia (MT),MT,0.0,0.0,1493772.6301921417,0.0,10
Bom Jesus do Galho (MG),MG,0.01754231672315082,0.017222653528630505,45944.541394820524,812.1006608493112,10
Bom Jesus do Sul (PR),PR,0.0012053438265370142,0.0012267477085363965,59612.85427855519,71.35772055886372,10
Bom Jesus dos Perdões (SP),SP,0.0,0.0,3148.9845034365626,0.0,10
Bom Repouso (MG),MG,0.0,0.0,21721.532685227172,0.0,10
Bom Sucesso (MG),MG,0.00188960638275751,0.0019780961462835082,53877.92549507636,97.17309316340388,10
Bom Sucesso (PR),PR,0.11081509984013815,0.10828398500720551,420345.9856235508,45702.55010980662,10
Bom Sucesso de Itararé (SP),SP,0.0,0.0,3780.1043782665593,0.0,10
Bom Sucesso do Sul (PR),PR,0.000349803818606324,0.00034236934030017435,206917.5817376539,70.84135555382028,10
Bonfim (MG),MG,0.014366750060280643,0.010509861442362416,26038.134838012214,415.4159250482323,10
Bonfinópolis (GO),GO,0.0002837795010620852,0.0,9313.042076009728,3.187986132286743,10
Bonfinópolis de Minas (MG),MG,0.0004180913191728777,9.561861188490343e-05,485868.50814550463,180.86357060298332,10
Bonito (MS),MS,9.905045956396964e-05,5.075084180852302e-05,768066.3966745014,70.9145720828501,10
Bonito de Minas (MG),MG,0.0318203365009133,0.03401039411680196,36199.20070154932,1180.6139504507014,10
Bonópolis (GO),GO,0.0,0.0,186348.87668490235,0.0,10
Boracéia (SP),SP,0.3951067680860743,0.39016997071368165,124725.66725717054,49121.75604890614,10
Borborema (SP),SP,0.3743904769109664,0.3777902804508981,568227.9489580978,212170.35156983035,10
Borda da Mata (MG),MG,0.0014687919101248994,0.001596163914936632,28926.6131459243,41.2558153023185,10
Borebi (SP),SP,0.33972415508240317,0.3192242184432367,83394.43762234047,28771.703145356816,10
Borrazópolis (PR),PR,0.0,0.0,151990.09088429002,0.0,10
Borá (SP),SP,0.3351192606570864,0.3397652038855284,85992.6919479754,28717.07999900643,10
Botelhos (MG),MG,0.004977156172597905,0.005814111712671698,47913.43809076736,227.2913393315332,10
Botucatu (SP),SP,0.3136863793909053,0.30863601788266626,434330.51175298484,135291.56742100822,10
Botumirim (MG),MG,0.012340075309587896,0.012952164221334411,23544.778648073312,290.77526096209766,10
Braganey (PR),PR,0.001290442056215741,0.0013178747302289913,228133.06085306552,289.0573245456412,10
Bragança Paulista (SP),SP,0.005952409088733313,0.006315637506184862,62971.201427618355,364.60470149051486,10
Brasilândia (MS),MS,0.06467992772930944,0.05870842537433569,358586.66902731516,23351.00983035499,10
Brasilândia de Minas (MG),MG,0.030824310946074168,0.022828130589066756,239631.0523038719,7036.308250350178,10
Brasilândia do Sul (PR),PR,0.00033573111262413195,0.0,284255.60194044525,93.61081203742707,10
Brasnorte (MT),MT,1.7165584142130265e-05,2.0834195388747175e-05,3515161.925735672,71.44190148787328,10
Brasília de Minas (MG),MG,0.02014241254245206,0.02019694769300588,53981.04894811983,1091.1268480992717,10
Brazabrantes (GO),GO,0.04476412696104518,0.0,17148.10770811242,1512.4945321866937,10
Brazópolis (MG),MG,0.00362776281073866,0.0007986807137890402,26805.907378472963,130.58855186551753,10
Braúna (SP),SP,0.35452801634553055,0.3634877309904265,122183.19554418683,43440.37546958601,10
